DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2014-11-17T08:16:12.926+00:00,41.896,-119.617,1.3,3.8,ml,5,78,0.5,0.12,nn,nn00468207,1416216646875
2014-11-17T07:48:22.310+00:00,18.519,-106.400,35.0,4.6,mb,,222,5.0,1.04,us,usc000sy27,1416218495000
2014-11-17T07:28:21.290+00:00,18.283,-106.397,35.0,4.5,mb,,227,5.1,0.90,us,usc000sy24,1416216033000
2014-11-17T06:20:28.430+00:00,-21.504,-179.223,604.9,4.9,mb,,54,4.5,1.03,us,usc000sy1u,1416206460000
2014-11-17T05:38:36.530+00:00,36.739,-97.561,2.2,2.8,mb_lg,,42,0.3,0.38,us,usc000sy1q,1416203639000
2014-11-17T05:36:22.800+00:00,19.403,-67.408,25.0,2.9,Md,5,338,1.0,0.25,pr,pr14321000,1416211421166
2014-11-17T05:08:11.600+00:00,7.686,94.459,18.6,4.8,mb,,110,3.5,1.28,us,usc000sy1k,1416202943000
2014-11-17T05:06:51.860+00:00,1.746,126.811,40.9,4.7,mb,,144,1.1,1.34,us,usc000sy1f,1416213499000
2014-11-17T04:34:13.070+00:00,20.696,94.386,71.7,5.4,mb,,56,3.6,0.96,us,usc000sy0y,1416201258521
2014-11-17T04:24:01.390+00:00,36.780,-97.623,2.3,2.7,mb_lg,,40,0.2,0.41,us,usc000sy0u,1416199733223
2014-11-17T04:11:02.440+00:00,38.299,72.308,102.6,4.5,mb,,58,1.7,1.28,us,usc000sy0t,1416199652000
2014-11-17T03:52:20.000+00:00,63.091,-151.508,3.7,3.1,ml,,,,0.43,ak,ak11443721,1416201279704
2014-11-17T03:52:15.000+00:00,62.141,-151.027,69.6,2.8,ml,,,,0.31,ak,ak11443715,1416201297517
2014-11-17T02:21:01.190+00:00,37.214,-98.039,8.5,3.1,mb_lg,,113,0.1,0.30,us,usa000t7re,1416197958137
2014-11-17T01:25:29.050+00:00,29.471,70.145,26.5,4.4,mb,,121,4.9,0.91,us,usc000sy0f,1416216483506
2014-11-17T01:13:05.940+00:00,36.281,-97.234,1.1,2.8,mb_lg,,38,0.4,0.57,us,usc000sy0b,1416190234684
2014-11-17T01:06:00.210+00:00,-9.553,155.151,25.2,6.1,mwp,,23,4.7,0.79,us,usc000sy0a,1416215317903
2014-11-17T00:33:46.630+00:00,-32.988,-70.531,90.7,4.8,mb,,50,0.2,0.71,us,usc000sxzx,1416195177568
2014-11-17T00:03:36.180+00:00,18.573,145.673,203.7,4.6,mb,,79,3.3,0.65,us,usc000sxzs,1416211566775
2014-11-16T23:38:02.000+00:00,-23.420,-67.090,239.0,4.3,ml,,,,1.10,us,usc000sxzj,1416210031323
2014-11-16T23:17:11.720+00:00,2.711,98.484,11.4,4.4,mb,,84,0.4,0.97,us,usc000sxz7,1416208795325
2014-11-16T22:41:50.110+00:00,36.284,-97.234,5.0,3.3,mb_lg,,30,0.4,0.61,us,usc000sxyi,1416192753348
2014-11-16T22:33:20.820+00:00,-37.682,179.685,22.0,6.7,mww,,28,1.1,0.71,us,usc000sxye,1416196576000
2014-11-16T22:26:38.380+00:00,62.102,-25.683,16.7,5.0,mb,,107,3.3,0.75,us,usc000sxyg,1416205745102
2014-11-16T21:54:16.880+00:00,38.828,-122.777,0.9,2.7,md,57,34,0.0,0.05,nc,nc72348121,1416203807151
2014-11-16T20:16:57.190+00:00,-25.726,179.816,503.4,4.7,mb,,163,4.0,0.95,us,usc000sxxc,1416197981372
2014-11-16T18:33:24.000+00:00,61.618,-148.214,0.1,2.5,ml,,,,0.81,ak,ak11443559,1416191752265
2014-11-16T18:31:45.970+00:00,41.948,-119.681,4.7,2.7,ml,5,142,0.5,0.11,nn,nn00468146,1416176711169
2014-11-16T16:05:12.520+00:00,64.530,-17.804,8.0,4.4,mb,,124,1.5,0.99,us,usc000sxve,1416182865128
2014-11-16T14:38:59.000+00:00,60.278,-153.404,173.2,2.9,ml,,,,0.53,ak,ak11443459,1416191971479
2014-11-16T13:43:45.180+00:00,36.107,-117.371,1.1,2.7,ml,26,80,0.1,0.31,ci,ci37061471,1416158695063
2014-11-16T13:39:03.230+00:00,38.524,-122.450,11.6,2.5,md,54,58,0.1,0.18,nc,nc72347881,1416206431200
2014-11-16T13:37:57.310+00:00,10.543,124.335,57.0,4.5,mb,,103,7.9,0.45,us,usc000sxuu,1416153936000
2014-11-16T13:04:08.050+00:00,38.170,74.111,182.1,4.0,mb,,156,3.0,1.00,us,usc000sxun,1416171999395
2014-11-16T12:31:17.650+00:00,1.813,126.601,35.0,4.8,mb,,103,1.3,1.13,us,usc000sxug,1416170037934
2014-11-16T12:25:58.110+00:00,19.713,145.316,135.8,4.6,mb,,79,6.1,0.71,us,usc000sxuf,1416169713480
2014-11-16T11:11:08.000+00:00,36.603,-97.704,7.8,2.5,mb_lg,,71,0.2,0.36,us,usc000sxts,1416165223536
2014-11-16T11:06:09.150+00:00,1.606,97.914,35.8,5.4,mb,,29,0.5,1.02,us,usc000sxtp,1416148380240
2014-11-16T10:55:04.370+00:00,1.921,126.971,35.0,4.5,mb,,105,1.2,0.62,us,usc000sxtn,1416164260432
2014-11-16T10:32:40.140+00:00,36.283,-96.925,5.0,3.2,mb_lg,,57,0.2,0.65,us,usc000sxtg,1416145449867
2014-11-16T10:21:22.540+00:00,10.475,-86.081,35.4,5.2,mb,,140,1.1,1.33,us,usc000sxtc,1416162885792
2014-11-16T10:20:38.540+00:00,1.602,126.546,35.0,4.4,mb,,110,1.2,0.71,us,usc000sxtd,1416162197636
2014-11-16T10:12:20.300+00:00,1.733,126.675,35.0,4.6,mb,,111,1.2,0.84,us,usc000sxt9,1416161692682
2014-11-16T10:09:52.067+00:00,41.907,-119.621,0.3,2.8,ml,6,129,0.5,0.09,nn,nn00468133,1416167423390
2014-11-16T10:04:02.250+00:00,1.605,126.536,35.0,4.6,mb,,122,1.2,0.89,us,usc000sxt7,1416161205985
2014-11-16T09:11:23.000+00:00,60.314,-152.673,110.0,2.7,ml,,,,0.45,ak,ak11443302,1416158041405
2014-11-16T09:04:09.100+00:00,18.448,-66.377,84.0,2.5,Md,13,184,0.1,0.20,pr,pr14320005,1416157611032
2014-11-16T08:59:12.680+00:00,37.195,-98.000,5.0,3.1,mb_lg,,93,0.0,0.32,us,usc000sxss,1416185925490
2014-11-16T08:52:37.500+00:00,19.667,-65.560,59.0,3.1,Md,5,328,1.4,0.15,pr,pr14320006,1416156904136
