idmeertens,source_id,source,beroep_afzender,sekse,klasse,leeftijd_afzender,verzendlocatie,datum_verzonden,target,target_id,sekse_ontvanger,relatie,beroep_ontvanger,ontvangerlocatie,genre,schip,lng_afzender,lat_afzender,genoemde_namen,genoemde_goederen,afbeeldingjpg,afbeeldingxml,transcriptie,lat_ontvanger,lng_ontvanger,landcode,target_id_fout,fuzzy_id
143,7,Pieter Boudaen Courten,Planter,m,,,World/The Netherlands/Zeeland/Middelburg,1671-10-19,Abraham Cleeuwaert,110000,m,,,World,afschrift notari? akte,,3,610998,51,4987962,,,nl-hana_hca30-223_10_0029.jpg,nl-hana_hca30-223_10_0029.xml,,3,919305,-56,027783,1,11,1
143,7,Pieter Boudaen Courten,Planter,m,,,World/The Netherlands/Zeeland/Middelburg,,Abraham Cleeuwaert,110000,m,,,World,afschrift notari? akte,,3,610998,51,4987962,,,nl-hana_hca30-223_10_0029.jpg,nl-hana_hca30-223_10_0029.xml,,3,919305,-56,027783,1,11,1
AF,374,Ishak de Avilar,,,,,World/Suriname,1672-9-1,Armao dalma,820000,,,,World,,,-56,027783,3,919305,,,,,,42,230537,-83,7466403,2,82,1
AG,254,Onbekend,,,,,World/Suriname/Torarica,1672-1-9,Bastiaen Ketelaer,890000,,broer en zus,,World/The Netherlands/Zeeland/Middelburg,,,-55,0333333,5,3333333,,,,,,51,4987962,3,610998,1,89,3
AH,299,Onbekend,,,,,World,,Benijamijn Rawe,900000,,,,World/The Netherlands/Zeeland/Middelburg,,,-83,7466403,42,230537,,,,,,51,4987962,3,610998,1,90,3
AFZ,286,Onbekend,,,,,World/Suriname/Paramaribo,1672-1-10,Cornelija de Gelder,1070000,,vrouw en kinderen,,World,,,-55,2038278,5,8520355,,,,,,42,230537,-83,7466403,1,107,1
AGZ,155,Joris Darvall,Opzichter,m,,,World/Suriname/Torarica,1672-1-12,Cornelis Darvall,1090000,m,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-55,0333333,5,3333333,Abraham Vlaminck, Pieter Heersensen, Huibrecht Pietersen,,,,,52,3702157,4,8951679,1,109,3
AH,300,Onbekend,,,,,World,,Cornelis Lambrechtsen,1140000,,,,World/The Netherlands/Zeeland/Middelburg,,,-83,7466403,42,230537,,,,,,51,4987962,3,610998,1,114,3
2382,147,Johannes d'Olijslager,,m,,,World/Suriname/Torarica,1672-12-14,Hoogesteeger,2490000,M,Raadsheer,,World/The Netherlands/Zeeland/Middelburg,brief,,-55,0333333,5,3333333,,,nl-hana_hca30-227.1_1_0103.jpg,nl-hana_hca30-227.1_1_0103.xml,,51,4987962,3,610998,1,249,2
DLZ,415,Onbekend,,,,,World,1672-9-12,Jakob Enreques,3230000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,2,323,
DL,244,Onbekend,,,,,World,,Jan Marckes,3350000,,,,World,,,-83,7466403,42,230537,,suijker,,,,42,230537,-83,7466403,1,335,
2382,147,Johannes d'Olijslager,,m,,,World/Suriname/Torarica,1671-01-06,Laurens Willemsen Verpoorte,4010000,M,,koopman,World/The Netherlands/Zeeland/Middelburg,,,-55,0333333,5,3333333,,,nl-hana_hca30-227.1_4_0103.jpg,nl-hana_hca30-227.1_4_0103.xml,,51,4987962,3,610998,1,401,
FGA,48,Onbekend,,,,,World,,Onbekend,5690000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,1,569,
FHB,49,Onbekend,,,,,World,,Onbekend,5700000,,,,World,,,-83,7466403,42,230537,,Suiker,,,,42,230537,-83,7466403,1,570,
FIC,50,Onbekend,,,,,World,,Onbekend,5710000,,,,World,,,-83,7466403,42,230537,michiel copman, tobias claijsen Jan de Pre, Jan Andriesenn, Pieter Jsperen, Capitein Soetelinck,,,,,42,230537,-83,7466403,1,571,
FJD,51,Onbekend,,,,,World,,Onbekend,5720000,,,,World,,,-83,7466403,42,230537,Johannis Robbersen,,,,,42,230537,-83,7466403,1,572,
FKE,98,Onbekend,,,,,World,,Onbekend,6000000,,,,World,,,-83,7466403,42,230537,,confijt, suyker, lamoen,,,,42,230537,-83,7466403,1,600,
FGF,157,Onbekend,,,,,World,,Onbekend,6110000,,,,World,,,-83,7466403,42,230537,Jan Tinnegieter,,,,,42,230537,-83,7466403,1,611,
FHG,1700001,Onbekend,,,,,World,,Onbekend,6150000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,1,615,
FIH,1700002,Onbekend,,,,,World,,Onbekend,6160000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,1,616,
FJI,1700003,Onbekend,,,,,World,,Onbekend,6170000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,1,617,
FKJ,1700004,Onbekend,,,,,World,,Onbekend,6180000,,,,World,,,-83,7466403,42,230537,,,,,,42,230537,-83,7466403,1,618,
number 320,133,Jan Eghbertz,,m,,,World,1672-1-10,Aafje Jans,10000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-83,7466403,42,230537,Cornelis Maertins,,,,,52,3702157,4,8951679,1,1,
number 321,133,Jan Eghbertz,,man,,<30,World/Suriname,1672-1-14,Aafje Jans,10000,,zoon,,World/The Netherlands/Noord-Holland/Amsterdam,brief,Poelwijk,-56,027783,3,919305,,,,,,52,3702157,4,8951679,1,1,
A,361,Onbekend,,,,,World/Suriname,1672-1-5,Ab. Del Soto,30000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,3,
B,1005,Jeosuah Nasy,,,,,World,,Ab. Drago,40000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-83,7466403,42,230537,,,,,,52,3702157,4,8951679,2,4,
number 257,112,Hendrick de Harder,,man,,30-50,World,,Abiegel Harmens,50000,,(ex)man,,World/The Netherlands/Noord-Holland/Amsterdam,brief,Amerika,-83,7466403,42,230537,Johannes d'Olijslager,,,,,52,3702157,4,8951679,1,5,
C,314,Sara Drago,,,,,World,,Abigail Drago,60000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-83,7466403,42,230537,,,,,,52,3702157,4,8951679,2,6,
D,307,Jacob Nassy,,,,,World/Suriname,1672-1-10,Abigail Drago Rafel Aboab,70000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,7,
E,402,Isaque Baruh,,,,,World/Suriname,1672-8-24,Abrad Levi Bondia,80000,,,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,,,,,,51,4987962,3,610998,2,8,
number 41,21,A. Thisso,Koopman,m,Hoge middenklasse,Onbekend,World/Suriname,1672-01-08,Abraham,90000,,Onbekend,Onbekend,World/The Netherlands/Zeeland/Vlissingen,,,-56,027783,3,919305,Soetelinck (neef), Jean Sijmoensse (buurman),Onbekend,,,,51,4536672,3,5709125,1,9,
number 359,9,Jan van Ruijven,Koopman,m,,,World/Suriname,1672-01-08,Abraham Bischop,100000,M,,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,,,,,,51,4987962,3,610998,1,10,
1146,7,Pieter Boudaen Courten,Planter,m,,,World/The Netherlands/Zeeland/Middelburg,1672-12-10,Abraham Cleeuwaert,110000,m,,,World,brief,,3,610998,51,4987962,,,nl-hana_hca30-223_7_1_0029.jpg,nl-hana_hca30-223_7_1_0029.xml,,3,919305,-56,027783,1,11,
number 111,7,Pieter Boudaen Courten,Planter,m,,,World/The Netherlands/Zeeland/Middelburg,1671-8-21,Abraham Cleeuwaert,110000,m,,,World,,,3,610998,51,4987962,,,,,,42,230537,-83,7466403,1,11,
number 51,26,Adrijaen van der Spiegel,,m,,,World/Suriname/Torarica,1672-1-6,Abraham de Hertogh,150000,,,,World/The Netherlands/Zuid-Holland/Rotterdam,,,-55,0333333,5,3333333,,alfoxhoofden met zuijcker
suiker
 alfoxhoofden met zuijcker
suiker
2 aloxhoofden met zuijker, ,,,,51,9216667,4,4811111,1,15,
number 22,188,Samuel de Witt,,m,,,World/Suriname,1671-12-16,Abraham de Hertogh,150000,,heer en cosijn,,World/The Netherlands/Zuid-Holland/Rotterdam,,,-56,027783,3,919305,Cornelis (neef), Jacob Soetelinck, Monsr Jacobus vader, ,,,,,51,9216667,4,4811111,1,15,
F,340,Isaque de Prado,,,,,World,1671-1-1,Abraham de Prado,170000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-83,7466403,42,230537,,,,,,52,3702157,4,8951679,2,18,
G,340,Isaque de Prado,,,,,World/Suriname,1671-12-30,Abraham de Prado,170000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,17,
H,307,Jacob Nassy,,,,,World/Suriname,1672-1-15,Abraham Drago,190000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,19,
I,292,Onbekend,,,,,World,,Abraham Drago,190000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-83,7466403,42,230537,,,,,,52,3702157,4,8951679,1,19,
J,335,Samuel Nassy,,,,,World/Suriname,1672-11-17,Abraham Drago,190000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,19,
K,335,Samuel Nassy,,,,,World/Suriname,1672-9-8,Abraham Drago,190000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,19,
L,350,Joseph Baruh Carvalho,,,,,World/Suriname,1671-12-12,Abraham Frois,230000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,23,
M,303,Aaron de Fonseca,,,,,World/Suriname,1672-1-1,Abraham Levy Bondia,240000,,,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,,,,,,51,4987962,3,610998,2,24,
number 24,16,Sera de Lisle,,m,,,World,1672-1-8,Abraham Marchan,250000,,,,World/The Netherlands/Zeeland/Vlissingen,,,-83,7466403,42,230537,,,,,,51,4536672,3,5709125,1,25,
number 35,21,A. Thisso,Koopman,m,Hoge middenklasse,Onbekend,World/Suriname,1672-09-13,Abraham Musch,260000,,Onbekend,koopman,World/The Netherlands/Zeeland/Vlissingen,,,-56,027783,3,919305,Onbekend,Onbekend,,,,51,4536672,3,5709125,1,26,
N,340,Isaque de Prado,,,,,World/Suriname,1672-9-6,Abraham Rodrigues De Prado,270000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,27,
O,426,Onbekend,,,,,World/Suriname,1672-9-4,Abraham Rodrigues De Prado,270000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,27,
P,340,Isaque de Prado,,,,,World/Suriname,1672-1-12,Abraham Rodrique de Prado,270000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,27,
Q,359,Isaque R. De Prado,,,,,World/Suriname,1671-12-16,Abraham Rodrique de Prado,270000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,27,
number 58,32,Alexander Batij,secretaris,m,,,World/Suriname/Torarica,1672-1-10,Abraham Sis,310000,m,,,World/The Netherlands/Zeeland/Vlissingen,,,-55,0333333,5,3333333,,,,,,51,4536672,3,5709125,1,31,
number 336,9,Jan van Ruijven,Koopman,m,,,World/Suriname,1672-01-10,Abraham Sis,310000,,,,World/The Netherlands/Zeeland/Vlissingen,,,-56,027783,3,919305,,,,,,51,4536672,3,5709125,1,31,
number 348,9,Jan van Ruijven,Koopman,m,,,World/Suriname,1671-12-29,Abraham Teerlinck,330000,M,,,World/The Netherlands/Zeeland/Vlissingen,brief,,-56,027783,3,919305,,,nl-hana_hca30-227.1_4_0035.jpg,nl-hana_hca30-227.1_4_0035.xml,S(eigneu)r Abraham
Teerlinck  Adij  29 december 1671 Zeruname

Monsieur en vrindt In dato 22 deesre is mij [tee]-
gekoomen Ue.Aangenaamen Gedateert 25 octobr(is)
p(e)r schipp(e)r Jacob Soeteling met Schip de biecurf
Waer ut met Lief gesien t'arivement,51,4536672,3,5709125,1,33,
number 299,129,Jacob van de Velde,,m,,,World/Suriname,1672-9-13,Abraham Vlaminck,340000,,,,World/The Netherlands/Zeeland/Vlissingen,,Zeepaard,-56,027783,3,919305,,,,,,51,4536672,3,5709125,1,34,
R,356,Arao da Silva,,,,,World/Suriname,1672-1-10,Abram del Sotto,350000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,35,
S,354,Raquel da Silva,,,,,World/Suriname,1671-12-6,Abram del Sotto,350000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,35,
T,354,Raquel da Silva,,,,,World/Suriname,1672-1-10,Abram del Sotto,350000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,35,
U,354,Raquel da Silva,,,,,World/Suriname,1672-1-9,Abram del Sotto,350000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,35,
V,355,Sara da Silva,,,,,World/Suriname,1672-1-10,Abram del Sotto,350000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,,,,,,52,3702157,4,8951679,2,35,
W,347,Isaque Montesinas,,,,,World/Suriname,1671-12-12,Abram Lebi Bondia,400000,,,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,,,,,,51,4987962,3,610998,2,40,
number 274,116,Ia Weijers,,m,,,World/Suriname,1672-9-14,Aderjantie Dorsmans,410000,,moeder,,World/The Netherlands/Zeeland/Vlissingen,,,-56,027783,3,919305,Soetelinck (neef), Jean Sijmoensse (buurman),,,,,51,4536672,3,5709125,1,41,
number 233,100,Fijlippus Bracht,,m,,,World/Suriname/Paramaribo,1672-1-6,Adriaan Bleeck,420000,,,,World/The Netherlands/Zeeland/Middelburg,,,-55,2038278,5,8520355,,,,,,51,4987962,3,610998,1,42,
